[Campaign]
Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Bid Strategy Type,Search Network,Display Network,Search Partners,Languages,Location,Start Date
Anxiete Paris Search 2026,Search,Paused,3.30,Daily,Maximize conversions,On,Off,Off,French,"Paris,Ile-de-France,France",2026-09-10

[Ad Groups]
Campaign,Ad Group,Ad Group Status,Ad Group Type,Max CPC
Anxiete Paris Search 2026,Anxiete Stress,Enabled,Standard,2.00
Anxiete Paris Search 2026,Prise Parole Urgent,Enabled,Standard,1.80
Anxiete Paris Search 2026,Prise Parole Large,Enabled,Standard,1.30
Anxiete Paris Search 2026,Situations Precises,Enabled,Standard,2.20

[Keywords]
Campaign,Ad Group,Keyword,Criterion Type,Status
Anxiete Paris Search 2026,Anxiete Stress,hypnose anxiété paris,Exact,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnothérapeute anxiété,Exact,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose pour l'anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnothérapie anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose anxiété généralisée,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,séance hypnose anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose crise d'angoisse,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose stress paris,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,peur de parler en public paris,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,peur de prendre la parole,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,anxiete prise de parole public,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,stress presentation orale,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,panique parler devant groupe,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,trac reunion orale,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,hypnose peur parler public paris,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,prise de parole en public,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,prise de parole,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,hypnose prise de parole paris,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Large,coach prise de parole,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,orateur formation paris,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,peur oral reunion,Exact,Enabled
Anxiete Paris Search 2026,Situations Precises,stress presentation travail,Exact,Enabled
Anxiete Paris Search 2026,Situations Precises,phobie presentation powerpoint,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,angoisse pitch commercial,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,nervosite entretien embauche,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,stress presentiel salle conference,Phrase,Enabled

[Negative Keywords]
Campaign,Ad Group,Keyword,Criterion Type,Status
Anxiete Paris Search 2026,,gratuit,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,gratuite,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,formation,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,devenir hypnothérapeute,Campaign Negative Phrase,Enabled
Anxiete Paris Search 2026,,école,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,cours,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,emploi,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,recrutement,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,pdf,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,livre,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,définition,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,wikipedia,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,symptômes,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,médicament,Campaign Negative Phrase,Enabled
Anxiete Paris Search 2026,,enfant,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,auto-hypnose,Campaign Negative Phrase,Enabled
Anxiete Paris Search 2026,,toastmasters,Campaign Negative Phrase,Enabled
Anxiete Paris Search 2026,,exercice,Campaign Negative Broad,Enabled
Anxiete Paris Search 2026,,DIY,Campaign Negative Broad,Enabled

[Ads]
Campaign,Ad Group,Ad Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
Anxiete Paris Search 2026,Anxiete Stress,Responsive search ad,Enabled,https://novahypnose.fr/anxiete-hypnose-paris.html,anxiete,paris,Hypnose Anxiété à Paris,Retrouvez Votre Calme,Parcours en 3-5 Séances,Praticien Certifié Paris,Hypnose Ericksonienne,Cabinet Paris Bastille,Prenez Rendez-Vous,Apaiser les Crises d'Angoisse,Vaincre les Crises de Panique,Apaiser le Mental au Quotidien,Réservez Votre Séance,Alain Zenatti,Hypnose ericksonienne pour l'anxiété et les crises de panique. Parcours en 3 à 5 séances.,"Praticien certifié, approche bienveillante et rigoureuse. Cabinet Bastille ou en visio.",Retrouvez votre calme durablement. Prenez rendez-vous en ligne dès aujourd'hui.,Hypnothérapeute certifié à Paris 4e. Cabinet à Bastille ou séance en visio.
