Type,Text,Description 1,Description 2,Final URL,Notes
Sitelink,Tarifs et modalités,90 € au cabinet ou en visio,Annulation libre sous 48 h,https://novahypnose.fr/tarifs,
Sitelink,Avis clients vérifiés,Témoignages Google et Resalib,Note moyenne de 5 sur 5,https://novahypnose.fr/avis,
Sitelink,Toutes les phobies,"Avion, dentiste, ascenseur…",Une page par peur traitée,https://novahypnose.fr/hypnose-phobies-paris,
Sitelink,Qui est Alain Zenatti ?,Maître Hypnologue certifié,Cabinet Paris 4e Marais,https://novahypnose.fr/alain-zenatti,
Sitelink,Questions fréquentes,Déroulé d'une séance d'hypnose,Réponses aux questions clés,https://novahypnose.fr/faq,
Sitelink,Séance en visio,Partout en France en Google Meet,Même tarif qu'au cabinet,https://novahypnose.fr/hypnose-en-ligne,
Callout,Cabinet Paris 4e Marais,,,,
Callout,Visio partout en France,,,,
Callout,Résultats en 2-4 séances,,,,
Callout,Hypnologue certifié,,,,
Callout,Approche sans médicament,,,,
Callout,Annulation libre sous 48h,,,,
Callout,Note de 5/5 sur Google,,,,
Callout,Métro Bastille/Saint-Paul,,,,
Callout,Sans exposition forcée,,,,
Callout,RDV en ligne 24h/24,,,,
Structured Snippet Header,Services,,,,En-tête à sélectionner dans la liste Google
Structured Snippet Value,Peur du dentiste,,,,
Structured Snippet Value,Claustrophobie,,,,
Structured Snippet Value,Peur de l'IRM,,,,
Structured Snippet Value,Angoisse du fauteuil,,,,
Structured Snippet Value,Peur des tunnels,,,,
Structured Snippet Value,Peur de l'ascenseur,,,,
Structured Snippet Value,Réflexe nauséeux,,,,
Structured Snippet Value,Hypnose en visio,,,,
Call,+33 6 49 35 80 89,,,,Planifier Lun-Ven 11:00-20:30 uniquement
Location,Google Business Profile,,,,À associer via Outils > Association de comptes
