Type,Text,Description 1,Description 2,Final URL,Notes
Sitelink,Tarifs et modalités,90 € au cabinet ou en visio,Annulation libre sous 48 h,https://novahypnose.fr/tarifs,
Sitelink,Avis clients vérifiés,Témoignages Google et Resalib,Note moyenne de 5 sur 5,https://novahypnose.fr/avis,
Sitelink,Questions fréquentes,Déroulé d'une séance d'hypnose,Réponses aux questions clés,https://novahypnose.fr/faq,
Sitelink,Qui est Alain Zenatti ?,Maître Hypnologue certifié,Cabinet Paris 4e Marais,https://novahypnose.fr/alain-zenatti,
Sitelink,Test de réceptivité,Évaluez votre réceptivité,Questionnaire en ligne,https://novahypnose.fr/test-receptivite,
Sitelink,Séance en visio,Partout en France en Google Meet,Même tarif qu'au cabinet,https://novahypnose.fr/hypnose-en-ligne,
Callout,Cabinet Paris 4e Marais,,,,
Callout,Visio partout en France,,,,
Callout,Résultats en 3-5 séances,,,,
Callout,Hypnologue certifié,,,,
Callout,Approche sans médicament,,,,
Callout,Annulation libre sous 48h,,,,
Callout,Note de 5/5 sur Google,,,,
Callout,Métro Bastille/Saint-Paul,,,,
Callout,1re séance de 1h30,,,,
Callout,RDV en ligne 24h/24,,,,
Structured Snippet Header,Services,,,,En-tête à sélectionner dans la liste Google
Structured Snippet Value,Stress chronique,,,,
Structured Snippet Value,Anxiété généralisée,,,,
Structured Snippet Value,Crises d'angoisse,,,,
Structured Snippet Value,Burn-out,,,,
Structured Snippet Value,Charge mentale,,,,
Structured Snippet Value,Stress au travail,,,,
Structured Snippet Value,Anxiété anticipatoire,,,,
Structured Snippet Value,Hypnose en visio,,,,
Call,+33 6 49 35 80 89,,,,Planifier Lun-Ven 11:00-20:30 uniquement
Location,Google Business Profile,,,,À associer via Outils > Association de comptes
Image,Portrait Alain Zenatti,,,https://akrlyzmfszumibwgocae.supabase.co/storage/v1/object/public/images/alain-nov2025.webp,Recadrer en 1:1 et 1.91:1
